p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene
2.47416284551064e-08	3.21545986391565	0.027	0.004	0.000691701706719409	pulmonary alveolar type 2 cell	ENSG00000171714
2.59039600873049e-08	1.36326226556354	0.179	0.098	0.000724197012160782	pulmonary alveolar type 2 cell	ENSG00000152284
2.61087850694045e-08	1.22139256687448	0.235	0.14	0.000729923304185341	pulmonary alveolar type 2 cell	ENSG00000081803
2.66191783099441e-08	5.47930515334508	0.017	0.001	0.000744192368011107	pulmonary alveolar type 2 cell	ENSG00000101098
2.67234637529495e-08	0.674105066960619	0.408	0.29	0.00074710787614121	pulmonary alveolar type 2 cell	ENSG00000064666
2.71533504970013e-08	3.27390131023718	0.017	0.001	0.000759126219844665	pulmonary alveolar type 2 cell	ENSG00000133742
2.76644044807724e-08	1.5876246364468	0.092	0.036	0.000773413756068953	pulmonary alveolar type 2 cell	ENSG00000151012
2.85761295018203e-08	4.1543023874477	0.015	0	0.00079890285248239	pulmonary alveolar type 2 cell	ENSG00000234235
2.86818890933873e-08	3.19636218355479	0.015	0	0.000801859573383829	pulmonary alveolar type 2 cell	ENSG00000236393
2.86937757896557e-08	1.18864132416865	0.155	0.078	0.000802191889751405	pulmonary alveolar type 2 cell	ENSG00000173611
2.97900316299381e-08	0.480530531600774	0.483	0.383	0.000832839914278179	pulmonary alveolar type 2 cell	ENSG00000114861
3.00951335715875e-08	0.295870574593203	0.786	0.706	0.000841369649260873	pulmonary alveolar type 2 cell	ENSG00000136888
3.06019409683158e-08	1.06029974394541	0.174	0.094	0.000855538463651205	pulmonary alveolar type 2 cell	ENSG00000136158
3.14911653496386e-08	0.715797582750568	0.193	0.107	0.000880398509679845	pulmonary alveolar type 2 cell	ENSG00000108551
3.22398911314609e-08	1.42045435704366	0.122	0.055	0.000901330636362253	pulmonary alveolar type 2 cell	ENSG00000180953
3.23634980131593e-08	1.01385128303416	0.244	0.151	0.000904786313953893	pulmonary alveolar type 2 cell	ENSG00000170653
3.25204739313798e-08	4.04093065197827	0.023	0.002	0.000909174889699584	pulmonary alveolar type 2 cell	ENSG00000247199
