myAUC	avg_diff	power	avg_log2FC	pct.1	pct.2	cluster	gene
0.834	0.647879673118524	0.668	3.16413187967815	0.75	0.107	myofibroblast cell	ENSG00000197256
0.834	1.26541485169944	0.668	2.99720555577388	0.75	0.151	myofibroblast cell	ENSG00000106538
0.833	1.36994479174706	0.666	3.68055312023256	0.75	0.127	myofibroblast cell	ENSG00000071282
0.83	1.00834490563952	0.66	3.15355417116603	0.75	0.211	myofibroblast cell	ENSG00000183741
0.829	1.71012746066712	0.658	3.88957211845777	0.75	0.266	myofibroblast cell	ENSG00000159176
0.828	0.884548809584141	0.656	1.83873452377305	0.875	0.335	myofibroblast cell	ENSG00000123358
0.827	1.13121472879306	0.654	1.82283384242044	0.875	0.364	myofibroblast cell	ENSG00000026025
0.824	0.908491732217957	0.648	3.53479693856313	0.75	0.152	myofibroblast cell	ENSG00000033627
0.822	0.894080260334868	0.644	1.61052943957363	0.875	0.605	myofibroblast cell	ENSG00000160789
0.814	0.935808565614368	0.628	2.90430269949967	0.75	0.227	myofibroblast cell	ENSG00000152492
0.813	0.761963744771534	0.626	1.81150412119724	0.875	0.453	myofibroblast cell	ENSG00000005483
0.811	0.654576531632204	0.622	1.53373734341519	0.875	0.337	myofibroblast cell	ENSG00000182809
0.81	0.738793463355911	0.62	2.14067973020077	0.75	0.111	myofibroblast cell	ENSG00000109099
0.808	1.52094812264531	0.616	5.27832679391089	0.625	0.007	myofibroblast cell	ENSG00000175084
0.807	0.890967680770305	0.614	5.9761410553581	0.625	0.021	myofibroblast cell	ENSG00000061455
0.806	0.743711072481276	0.612	5.35154733194304	0.625	0.013	myofibroblast cell	ENSG00000145936
0.806	0.886534320186608	0.612	6.24905118415188	0.625	0.015	myofibroblast cell	ENSG00000106034
0.804	0.875307669074167	0.608	2.5065766286974	0.75	0.22	myofibroblast cell	ENSG00000090006
0.804	0.715509909710925	0.608	2.0083376774874	0.75	0.148	myofibroblast cell	ENSG00000004799
0.802	0.721096453323415	0.604	2.33421034900375	0.75	0.239	myofibroblast cell	ENSG00000213722
0.802	0.988308154327954	0.604	2.24929356932986	0.75	0.2	myofibroblast cell	ENSG00000159403
0.801	0.936291454919707	0.602	5.16476798151944	0.625	0.031	myofibroblast cell	ENSG00000172403
0.801	1.25701082672017	0.602	5.05809993630937	0.625	0.024	myofibroblast cell	ENSG00000121068
0.801	1.0141093093948	0.602	2.57496896362582	0.75	0.289	myofibroblast cell	ENSG00000102024
0.799	0.97338225219076	0.598	5.10219893560818	0.625	0.031	myofibroblast cell	ENSG00000204262
0.798	0.903365215135787	0.596	4.96996237336743	0.625	0.039	myofibroblast cell	ENSG00000262655
0.795	0.93536389645692	0.59	1.76732919820354	0.875	0.44	myofibroblast cell	ENSG00000143878
0.794	1.08507806526313	0.588	4.32460800925292	0.625	0.046	myofibroblast cell	ENSG00000162614
