p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene
7.57419998018253e-128	3.20142686251867	0.92	0.458	1.49060255609992e-123	Astrocytes	ENSG00000109472
1.16824318084802e-127	5.58431877615796	0.27	0.007	2.29910257990891e-123	Astrocytes	ENSG00000170324
2.06563887713914e-127	4.11966494377971	0.512	0.066	4.06517731020984e-123	Astrocytes	ENSG00000204128
2.58671148859683e-127	2.95065763428826	0.886	0.349	5.09064820955855e-123	Astrocytes	ENSG00000099204
1.67955357180944e-126	3.63843031416216	0.433	0.039	3.30536142932098e-122	Astrocytes	ENSG00000137936
2.24405953324463e-126	2.85449708817483	0.657	0.119	4.41630916142544e-122	Astrocytes	ENSG00000163110
1.35728157002274e-125	3.02850537184461	0.958	0.627	2.67113012980475e-121	Astrocytes	ENSG00000148053
1.51044698076274e-125	3.74875622592596	0.907	0.447	2.97255965814108e-121	Astrocytes	ENSG00000170390
6.0953127217253e-125	4.61554910335176	0.356	0.023	1.19955754363554e-120	Astrocytes	ENSG00000101400
3.12735018542945e-124	2.56795458481698	0.976	0.813	6.15462516492516e-120	Astrocytes	ENSG00000127603
3.4781993768483e-123	3.30619746225841	0.567	0.086	6.84509637363745e-119	Astrocytes	ENSG00000162407
2.44234770766391e-122	5.93121331986643	0.27	0.008	4.80654028868258e-118	Astrocytes	ENSG00000137198
2.94451380778803e-122	3.15934686232948	0.737	0.179	5.79480317372685e-118	Astrocytes	ENSG00000167614
1.37307839361728e-121	4.93537398872953	0.221	0.002	2.7022182786388e-117	Astrocytes	ENSG00000121742
3.16170420375654e-121	2.96908077459091	0.858	0.289	6.22223387299287e-117	Astrocytes	ENSG00000046889
3.23172246347107e-120	5.59354943067601	0.27	0.009	6.36002980811107e-116	Astrocytes	ENSG00000196091
1.37240227692614e-119	6.9068077089136	0.585	0.117	2.70088768099064e-115	Astrocytes	ENSG00000164199
1.48583989824457e-119	3.50458913623481	0.637	0.127	2.92413291974532e-115	Astrocytes	ENSG00000141639
5.02693090890056e-119	5.03846903277726	0.308	0.016	9.89300002871629e-115	Astrocytes	ENSG00000144857
5.41914570611739e-119	3.28634280718495	0.557	0.087	1.0664878749639e-114	Astrocytes	ENSG00000130413
5.44197937724846e-119	2.49398322384254	0.948	0.442	1.0709815414425e-114	Astrocytes	ENSG00000101542
7.8097040949415e-119	5.36551952306617	0.394	0.036	1.53694976588449e-114	Astrocytes	ENSG00000132164
1.22359783597688e-118	4.09881857465304	0.412	0.039	2.40804054120249e-114	Astrocytes	ENSG00000117592
6.65816731074274e-118	2.47326141380324	0.893	0.313	1.31032732675417e-113	Astrocytes	ENSG00000182050
2.83897333405455e-117	6.39382311152443	0.235	0.005	5.58709952141935e-113	Astrocytes	ENSG00000170370
1.84038650879246e-116	4.41900500635296	0.339	0.023	3.62188064930355e-112	Astrocytes	ENSG00000074855
3.04911167738456e-116	4.92762432495191	0.318	0.019	6.00065178109282e-112	Astrocytes	ENSG00000165730
5.19394908588004e-116	2.41845884352238	0.976	0.541	1.02216918010119e-111	Astrocytes	ENSG00000162599
1.09414698396474e-115	3.70853553761371	0.509	0.073	2.15328126444261e-111	Astrocytes	ENSG00000261609
2.51615454779842e-115	6.5315574688264	0.246	0.007	4.9517921500673e-111	Astrocytes	ENSG00000114315
2.97963674175876e-114	5.85873561951127	0.225	0.004	5.86392510778124e-110	Astrocytes	ENSG00000074047
3.52164495482417e-114	4.39221821518581	0.329	0.021	6.93059727109397e-110	Astrocytes	ENSG00000165449
4.26244675429806e-114	3.22276335914425	0.612	0.118	8.38849521245859e-110	Astrocytes	ENSG00000135919
8.63456077206549e-114	2.88631310760002	0.661	0.137	1.69928155994249e-109	Astrocytes	ENSG00000099139
1.03290022474107e-113	2.13517731940827	0.983	0.691	2.03274764229043e-109	Astrocytes	ENSG00000069667
4.34045543331878e-113	5.42132034496425	0.26	0.009	8.54201629277135e-109	Astrocytes	ENSG00000183773
1.10466995134434e-112	3.71718196166702	0.353	0.027	2.17399046424567e-108	Astrocytes	ENSG00000091409
2.09705789449802e-111	5.49975999422489	0.349	0.028	4.12700993637211e-107	Astrocytes	ENSG00000168209
3.15556491671401e-111	4.40040324271207	0.329	0.023	6.21015175609317e-107	Astrocytes	ENSG00000145832
7.05235386597282e-110	4.84816380868221	0.284	0.014	1.38790324082345e-105	Astrocytes	ENSG00000007372
8.01048275794953e-110	3.65438212865266	0.706	0.203	1.57646300676447e-105	Astrocytes	ENSG00000136002
3.12734472688058e-109	5.36447667841028	0.27	0.012	6.15461442250098e-105	Astrocytes	ENSG00000026508
7.65859541703657e-109	4.7305837459868	0.336	0.026	1.5072115780728e-104	Astrocytes	ENSG00000163638
1.15580050567566e-108	3.98251787113127	0.401	0.043	2.2746153951697e-104	Astrocytes	ENSG00000156049
1.5501191370627e-108	4.14831645802862	0.415	0.047	3.05063446173939e-104	Astrocytes	ENSG00000136297
2.36164021921846e-108	2.94983502780217	0.654	0.141	4.64770795142193e-104	Astrocytes	ENSG00000143772
4.2922916296739e-108	2.44713887141848	0.779	0.242	8.44722992719823e-104	Astrocytes	ENSG00000147408
4.81141654081479e-108	4.44336033346174	0.26	0.01	9.4688677523235e-104	Astrocytes	ENSG00000124942
7.28566316654292e-107	4.17109661595086	0.304	0.019	1.43381851117565e-102	Astrocytes	ENSG00000119927
1.19614872260311e-106	4.54588431544852	0.353	0.031	2.35402068608292e-102	Astrocytes	ENSG00000164877
8.36387662197436e-106	2.52444806197434	0.709	0.174	1.64601091920455e-101	Astrocytes	ENSG00000148737
1.05078517363921e-105	4.72387233449806	0.27	0.013	2.06794522172196e-101	Astrocytes	ENSG00000134873
4.02777957749355e-105	2.03285078637969	0.993	0.814	7.92667020850731e-101	Astrocytes	ENSG00000182667
4.6533493829046e-105	8.0535180286217	0.183	0.001	9.15779158555626e-101	Astrocytes	ENSG00000103710
2.36552448360902e-104	2.3743425816148	0.938	0.577	4.65535218374256e-100	Astrocytes	ENSG00000172461
2.92802355044759e-104	3.34420462978734	0.727	0.242	5.76235034728086e-100	Astrocytes	ENSG00000116641
8.44715876142349e-104	5.88026916972604	0.273	0.014	1.66240084424814e-99	Astrocytes	ENSG00000187193
1.20618842981104e-103	3.31167626127025	0.384	0.039	2.37377882986812e-99	Astrocytes	ENSG00000079335
4.80997913050588e-103	5.28533169648609	0.242	0.009	9.46603892883556e-99	Astrocytes	ENSG00000179604
6.24238194387888e-103	1.40032307724068	0.844	0.276	1.22850076655536e-98	Astrocytes	ENSG00000123104
9.21837398565577e-103	6.51079619522126	0.19	0.002	1.81417600037705e-98	Astrocytes	ENSG00000214456
2.13672414768118e-102	8.02306555942144	0.204	0.004	4.20507312263657e-98	Astrocytes	ENSG00000119938
4.34204558394518e-102	3.68763387222225	0.381	0.04	8.54514570920412e-98	Astrocytes	ENSG00000153902
4.42453178419761e-102	3.80195113516689	0.401	0.047	8.7074785513009e-98	Astrocytes	ENSG00000168003
1.40675072466962e-101	4.91681394893517	0.26	0.013	2.76848542614981e-97	Astrocytes	ENSG00000184232
1.64980251965833e-100	3.01799729703597	0.332	0.028	3.2468113586876e-96	Astrocytes	ENSG00000069702
5.49008617817693e-100	4.92115558343812	0.239	0.01	1.08044895986522e-95	Astrocytes	ENSG00000255690
6.65174698822314e-100	1.74576187761706	1	0.623	1.30906380728231e-95	Astrocytes	ENSG00000185737
6.92440294759662e-100	3.16930675653115	0.266	0.014	1.36272250008701e-95	Astrocytes	ENSG00000128849
7.20340927985507e-100	2.93876579272179	0.789	0.32	1.41763094627548e-95	Astrocytes	ENSG00000198363
1.68589403411986e-99	3.44159252794528	0.706	0.201	3.31783945914788e-95	Astrocytes	ENSG00000087250
3.09292667555905e-99	5.11788850006297	0.228	0.008	6.08687969750021e-95	Astrocytes	ENSG00000163346
6.28620161593063e-99	3.46063753987175	0.616	0.155	1.23712447801515e-94	Astrocytes	ENSG00000108231
1.3722277343493e-96	4.20235393226802	0.291	0.02	2.70054418119942e-92	Astrocytes	ENSG00000163430
1.41241513577133e-96	7.38517900224885	0.17	0.001	2.77963298719798e-92	Astrocytes	ENSG00000054179
1.64234805515416e-95	3.97263418145004	0.322	0.028	3.23214097254339e-91	Astrocytes	ENSG00000101198
1.9798714261691e-95	6.46875076267608	0.215	0.007	3.8963869667008e-91	Astrocytes	ENSG00000205364
3.15547240380153e-95	3.5982924237233	0.46	0.074	6.2099696906814e-91	Astrocytes	ENSG00000115266
5.01185658947489e-95	3.18906324439284	0.647	0.179	9.86333376808659e-91	Astrocytes	ENSG00000153904
1.97488780477991e-94	3.8485601374924	0.311	0.026	3.88657919980686e-90	Astrocytes	ENSG00000180263
2.47618210956749e-94	2.1431766811433	0.882	0.347	4.87312639162882e-90	Astrocytes	ENSG00000183580
1.37564653031451e-93	3.2213537750938	0.398	0.05	2.70727237165896e-89	Astrocytes	ENSG00000112769
1.64886688718321e-93	2.9725343591973	0.543	0.11	3.24497003397655e-89	Astrocytes	ENSG00000128536
1.73088872955076e-93	2.3859417038271	0.367	0.039	3.4063890197559e-89	Astrocytes	ENSG00000153208
1.77490770787292e-93	2.91048527618275	0.654	0.177	3.49301836909391e-89	Astrocytes	ENSG00000134376
3.38933074476297e-93	2.20720367986238	0.616	0.13	6.67020290569352e-89	Astrocytes	ENSG00000198963
4.00276810809085e-93	3.78302376456686	0.273	0.018	7.87744763672279e-89	Astrocytes	ENSG00000197977
6.14534485880481e-93	5.5606097222607	0.197	0.005	1.20940386821279e-88	Astrocytes	ENSG00000156535
1.17030425033419e-92	2.65551913413271	0.46	0.068	2.30315876465769e-88	Astrocytes	ENSG00000031081
1.4069104380729e-92	2.31898408924552	0.754	0.256	2.76879974212747e-88	Astrocytes	ENSG00000079482
2.64524834234892e-92	6.59123400713427	0.166	0.001	5.20584873774268e-88	Astrocytes	ENSG00000137033
1.56011544080738e-91	2.12958958305846	0.889	0.482	3.07030718750892e-87	Astrocytes	ENSG00000010810
1.91769891800263e-91	2.26306930011007	0.471	0.072	3.77403147062917e-87	Astrocytes	ENSG00000132692
2.46105863407357e-91	2.21316671199919	0.875	0.376	4.84336339185679e-87	Astrocytes	ENSG00000185532
2.8941122111135e-91	2.10805349163957	0.834	0.345	5.69561283147137e-87	Astrocytes	ENSG00000197442
8.82018401255659e-91	4.15262865362956	0.266	0.018	1.73581221367114e-86	Astrocytes	ENSG00000126016
1.41756169733942e-90	3.95487342879755	0.225	0.01	2.78976142036398e-86	Astrocytes	ENSG00000087266
2.02772802732829e-90	6.88069748729033	0.17	0.002	3.99056875778207e-86	Astrocytes	ENSG00000101955
2.52367079247642e-90	4.69108516013104	0.201	0.006	4.9665841195936e-86	Astrocytes	ENSG00000069431
4.98085963994621e-89	2.60314219138823	0.727	0.246	9.80233177141415e-85	Astrocytes	ENSG00000174306
1.29509462157091e-88	2.44522941203553	0.965	0.71	2.54874621525155e-84	Astrocytes	ENSG00000066032
1.49068289421353e-88	2.8702693949094	0.436	0.065	2.93366393581222e-84	Astrocytes	ENSG00000165895
3.91326119645962e-88	5.1194245779961	0.204	0.007	7.70129803463254e-84	Astrocytes	ENSG00000127241
4.18224970236685e-88	6.33749799605516	0.163	0.002	8.23066741425796e-84	Astrocytes	ENSG00000106003
1.73965639931799e-87	5.75337065452671	0.18	0.004	3.42364379385781e-83	Astrocytes	ENSG00000285283
3.48796656309528e-87	3.05296423783315	0.377	0.048	6.86431819617151e-83	Astrocytes	ENSG00000011201
5.53805643471258e-87	2.26502164583197	0.834	0.354	1.08988950635144e-82	Astrocytes	ENSG00000111961
6.33023299445994e-87	3.42216813259803	0.512	0.103	1.24578985330972e-82	Astrocytes	ENSG00000100234
2.23920175069425e-86	7.33096193008056	0.166	0.003	4.40674904536628e-82	Astrocytes	ENSG00000125144
2.40214424655318e-86	7.06915831865658	0.163	0.002	4.72741987721666e-82	Astrocytes	ENSG00000160111
