myAUC	avg_diff	power	avg_log2FC	pct.1	pct.2	cluster	gene
0.761	1.26379647344205	0.522	2.83282018465589	0.64	0.198	Astrocytes	ENSG00000204681
0.76	1.43725588175413	0.52	3.6405608846488	0.578	0.074	Astrocytes	ENSG00000170525
0.759	0.969189444250163	0.518	1.73725814321004	0.675	0.199	Astrocytes	ENSG00000138756
0.759	0.998336069498903	0.518	1.71258243103201	0.779	0.332	Astrocytes	ENSG00000133195
0.758	1.52686650097751	0.516	4.92888607687216	0.54	0.031	Astrocytes	ENSG00000146005
0.758	0.823387535556839	0.516	1.29827338024942	0.882	0.784	Astrocytes	ENSG00000054523
0.758	1.61732072095883	0.516	5.2221203764676	0.529	0.017	Astrocytes	ENSG00000135744
0.757	1.51727362374727	0.514	3.47156777524914	0.585	0.086	Astrocytes	ENSG00000146648
0.757	1.11991541925584	0.514	2.19775570445831	0.682	0.269	Astrocytes	ENSG00000136754
0.756	1.68386947153703	0.512	6.20077833564531	0.519	0.009	Astrocytes	ENSG00000117525
0.754	1.4623007508102	0.508	4.99420044205418	0.529	0.024	Astrocytes	ENSG00000064655
0.754	2.08038234247385	0.508	4.8255865281604	0.547	0.062	Astrocytes	ENSG00000134508
0.754	1.55251928349967	0.508	7.27673979604876	0.512	0.004	Astrocytes	ENSG00000101680
0.753	1.13490968681016	0.506	2.25868002539144	0.682	0.297	Astrocytes	ENSG00000135597
0.753	1.59418147453664	0.506	3.92600365435455	0.564	0.083	Astrocytes	ENSG00000171444
0.753	1.1963226426965	0.506	1.99843593835429	0.72	0.286	Astrocytes	ENSG00000183722
0.75	1.58667710368471	0.5	5.30243658513928	0.522	0.03	Astrocytes	ENSG00000178075
0.75	1.84960516602024	0.5	5.03457096300156	0.512	0.013	Astrocytes	ENSG00000174776
0.749	1.51704346316204	0.498	3.72397111004507	0.54	0.042	Astrocytes	ENSG00000104313
0.749	1.35189248588652	0.498	3.7268177013833	0.547	0.062	Astrocytes	ENSG00000076555
0.748	1.0986664267416	0.496	2.02953936726696	0.696	0.244	Astrocytes	ENSG00000178764
0.748	1.61150756633608	0.496	5.28839116865847	0.519	0.037	Astrocytes	ENSG00000132321
0.748	1.36879990880929	0.496	3.30619746225841	0.567	0.086	Astrocytes	ENSG00000162407
0.747	1.33935323466492	0.494	2.86946095691238	0.612	0.173	Astrocytes	ENSG00000164929
0.747	1.02189107600326	0.494	1.89137732793266	0.668	0.228	Astrocytes	ENSG00000139132
0.745	1.54143418932796	0.49	3.42396859678173	0.588	0.165	Astrocytes	ENSG00000134324
0.744	1.2167875930991	0.488	2.31461957497193	0.668	0.285	Astrocytes	ENSG00000187079
0.744	1.36076117822196	0.488	3.28634280718495	0.557	0.087	Astrocytes	ENSG00000130413
0.743	1.17424694342712	0.486	2.20720367986238	0.616	0.13	Astrocytes	ENSG00000198963
0.743	1.48601564036561	0.486	2.86305138648274	0.55	0.068	Astrocytes	ENSG00000185650
0.741	1.89399349040721	0.482	6.50175618861805	0.491	0.012	Astrocytes	ENSG00000165092
0.74	1.41206936313393	0.48	2.85739724787142	0.606	0.187	Astrocytes	ENSG00000155897
0.74	1.35707288302461	0.48	4.19937290135061	0.509	0.032	Astrocytes	ENSG00000163406
0.738	0.941151904222233	0.476	1.54929315638887	0.768	0.374	Astrocytes	ENSG00000165323
0.737	1.53478252829537	0.474	4.26545767277436	0.516	0.056	Astrocytes	ENSG00000113657
0.737	1.69572711029144	0.474	8.40384676551876	0.478	0.003	Astrocytes	ENSG00000124145
0.737	1.18770675912182	0.474	2.09674408237923	0.706	0.324	Astrocytes	ENSG00000184304
0.736	3.18541600464837	0.472	10.2285434871711	0.474	0.003	Astrocytes	ENSG00000041982
0.736	0.797159379762737	0.472	1.32069657486279	0.813	0.475	Astrocytes	ENSG00000145012
0.734	1.20440083112249	0.468	2.69490128370984	0.574	0.141	Astrocytes	ENSG00000129116
0.734	2.22631477598563	0.468	3.24087509116837	0.747	0.522	Astrocytes	ENSG00000175497
0.733	0.79092618500771	0.466	1.29785754742015	0.813	0.453	Astrocytes	ENSG00000187239
0.733	1.53474558850412	0.466	5.57595678003855	0.478	0.011	Astrocytes	ENSG00000139155
0.732	1.64586315074284	0.464	5.00220622904476	0.495	0.045	Astrocytes	ENSG00000113645
0.732	1.49645788964885	0.464	4.11966494377971	0.512	0.066	Astrocytes	ENSG00000204128
0.732	1.29749107121081	0.464	2.2550805598428	0.64	0.224	Astrocytes	ENSG00000135821
0.731	1.32043714351908	0.462	2.98189121859206	0.557	0.132	Astrocytes	ENSG00000164292
0.731	0.959366684505702	0.462	1.68419170165014	0.734	0.376	Astrocytes	ENSG00000141441
0.73	0.92362039890591	0.46	1.84777393904037	0.644	0.191	Astrocytes	ENSG00000165478
0.729	0.939440830992942	0.458	1.65579516668883	0.678	0.24	Astrocytes	ENSG00000107104
0.729	1.25121371905965	0.458	2.9725343591973	0.543	0.11	Astrocytes	ENSG00000128536
0.728	1.26729010875232	0.456	2.86299349151388	0.564	0.129	Astrocytes	ENSG00000181449
0.728	1.41485361444429	0.456	4.7729535626073	0.471	0.016	Astrocytes	ENSG00000137693
0.728	1.19514566151597	0.456	2.52850908652694	0.588	0.152	Astrocytes	ENSG00000116729
0.727	1.34985963416197	0.454	3.70853553761371	0.509	0.073	Astrocytes	ENSG00000261609
0.727	1.0816325002392	0.454	1.94927383062095	0.696	0.392	Astrocytes	ENSG00000100852
0.727	1.26988697919932	0.454	2.85681867118581	0.509	0.054	Astrocytes	ENSG00000116132
0.726	1.32038203062989	0.452	2.56420966558275	0.619	0.251	Astrocytes	ENSG00000083123
0.726	1.30752070985712	0.452	4.62936396852986	0.471	0.022	Astrocytes	ENSG00000111058
0.726	1.46449144512413	0.452	7.50600826371929	0.457	0.006	Astrocytes	ENSG00000072952
0.726	0.984771992282007	0.452	1.77698380433171	0.709	0.411	Astrocytes	ENSG00000148468
0.725	1.01021801778364	0.45	1.53523688843648	0.9	0.621	Astrocytes	ENSG00000018236
0.724	0.665155117372763	0.448	1.03507797448485	0.889	0.57	Astrocytes	ENSG00000091129
0.724	1.27151331204594	0.448	2.81234863215659	0.557	0.139	Astrocytes	ENSG00000205213
0.722	0.987409706879426	0.444	2.09088531321593	0.606	0.211	Astrocytes	ENSG00000182606
0.722	1.54061127000284	0.444	5.54666226877269	0.464	0.029	Astrocytes	ENSG00000130287
0.722	0.682126256221528	0.444	1.01763031624332	0.945	0.746	Astrocytes	ENSG00000067798
0.722	1.03978259551717	0.444	1.88568058319262	0.661	0.265	Astrocytes	ENSG00000196935
0.721	1.81502903400291	0.442	6.83955868609002	0.45	0.01	Astrocytes	ENSG00000172201
