p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene
6.98890607884542e-12	2.04187558123871	0.688	0.114	1.2009736205888e-07	Rhombencephalon GABAergic neurons	MSTRG.5903
8.32745421381125e-12	2.17511862118162	1	0.273	1.43098973210133e-07	Rhombencephalon GABAergic neurons	MSTRG.1089
8.68038284259337e-12	2.60488871666264	0.438	0.05	1.49163698767125e-07	Rhombencephalon GABAergic neurons	MSTRG.2113
9.18291702852704e-12	4.5739624740203	0.125	0.004	1.57799246218209e-07	Rhombencephalon GABAergic neurons	MSTRG.6235
1.33651104777226e-11	2.0265622975863	0.938	0.243	2.29666058449186e-07	Rhombencephalon GABAergic neurons	MSTRG.7242
1.3943462020473e-11	2.25343759604859	1	0.284	2.39604451359808e-07	Rhombencephalon GABAergic neurons	MSTRG.13211
1.73810813837703e-11	2.7373370523703	0.625	0.113	2.9867650249871e-07	Rhombencephalon GABAergic neurons	MSTRG.1488
1.73924531928205e-11	2.31167132524401	1	0.318	2.98871915665428e-07	Rhombencephalon GABAergic neurons	MSTRG.6410
1.85256681359761e-11	5.43994537719854	0.062	0.001	3.18345081248613e-07	Rhombencephalon GABAergic neurons	MSTRG.8037
2.52503466255956e-11	2.481009665082	0.875	0.219	4.33901956414234e-07	Rhombencephalon GABAergic neurons	MSTRG.4180
2.89833042640832e-11	2.40303677141101	0.938	0.279	4.98049100474006e-07	Rhombencephalon GABAergic neurons	MSTRG.15316
5.50266649057961e-11	2.02407065809442	1	0.33	9.45578209741201e-07	Rhombencephalon GABAergic neurons	MSTRG.8453
5.54169893563126e-11	1.99499822563104	0.875	0.221	9.52285545098876e-07	Rhombencephalon GABAergic neurons	MSTRG.5409
6.40055130142211e-11	2.53411069551774	0.438	0.056	1.09987073563638e-06	Rhombencephalon GABAergic neurons	MSTRG.26067
7.5542156380842e-11	2.24316003236876	0.875	0.232	1.29811641524839e-06	Rhombencephalon GABAergic neurons	MSTRG.57
1.72712476442904e-10	1.78708384065801	1	0.304	2.96789119519486e-06	Rhombencephalon GABAergic neurons	MSTRG.11591
1.7758841586216e-10	2.28514566185195	0.438	0.056	3.05167933817535e-06	Rhombencephalon GABAergic neurons	MSTRG.12315
2.42791313310299e-10	2.26840315716137	0.562	0.092	4.17212592792418e-06	Rhombencephalon GABAergic neurons	MSTRG.3495
2.68598375875652e-10	3.37598835927426	0.312	0.031	4.61559449104721e-06	Rhombencephalon GABAergic neurons	MSTRG.575
3.10438021886102e-10	1.88181856895063	0.812	0.186	5.33456696809079e-06	Rhombencephalon GABAergic neurons	MSTRG.1973
3.21245766038505e-10	2.05540673813574	0.688	0.137	5.52028724360566e-06	Rhombencephalon GABAergic neurons	MSTRG.9043
3.28682541090826e-10	2.03510611144709	1	0.316	5.64808078610476e-06	Rhombencephalon GABAergic neurons	MSTRG.5278
3.66302604685029e-10	1.83272042679029	0.938	0.271	6.29454395890753e-06	Rhombencephalon GABAergic neurons	MSTRG.13788
3.77699971250746e-10	1.89789083062263	0.875	0.24	6.49039630597283e-06	Rhombencephalon GABAergic neurons	MSTRG.23569
4.05146854099296e-10	2.4164021150201	0.562	0.099	6.9620435408423e-06	Rhombencephalon GABAergic neurons	MSTRG.11636
4.34301277564278e-10	1.84524917782436	0.812	0.183	7.46303315366456e-06	Rhombencephalon GABAergic neurons	MSTRG.9477
4.3809525598167e-10	2.29467734581036	0.625	0.115	7.52822887878902e-06	Rhombencephalon GABAergic neurons	MSTRG.15818
4.74429024061042e-10	1.85982805427796	0.812	0.195	8.15258834946495e-06	Rhombencephalon GABAergic neurons	MSTRG.17656
5.89414902737125e-10	2.2015796489933	0.938	0.284	1.01285056886347e-05	Rhombencephalon GABAergic neurons	MSTRG.8622
7.08312278766394e-10	1.75592688163613	0.938	0.28	1.21716381983217e-05	Rhombencephalon GABAergic neurons	MSTRG.7646
