myAUC	avg_diff	power	avg_log2FC	pct.1	pct.2	cluster	gene
0.856	1.28552207903274	0.712	2.76919178562845	0.825	0.197	Choroid plexus epithelial cells	MSTRG.17132
0.852	1.55096927962569	0.704	3.88099550023047	0.75	0.081	Choroid plexus epithelial cells	MSTRG.16617
0.852	1.69344208187808	0.704	2.80488329785531	0.75	0.06	Choroid plexus epithelial cells	MSTRG.9221
0.849	1.72433735567744	0.698	8.39657541108392	0.7	0.004	Choroid plexus epithelial cells	MSTRG.1818
0.848	1.63786828861172	0.696	3.19025698133808	0.775	0.11	Choroid plexus epithelial cells	MSTRG.7001
0.847	1.23522541950601	0.694	2.50490639682111	0.85	0.206	Choroid plexus epithelial cells	MSTRG.12353
0.847	1.80205811273511	0.694	4.01170731463949	0.75	0.111	Choroid plexus epithelial cells	MSTRG.8411
0.845	4.49263762082343	0.69	7.8391536889538	0.7	0.023	Choroid plexus epithelial cells	MSTRG.9388
0.844	1.90472262368933	0.688	4.31627538318002	0.725	0.048	Choroid plexus epithelial cells	MSTRG.6614
0.844	2.02046335075458	0.688	3.69704420399072	0.8	0.273	Choroid plexus epithelial cells	MSTRG.4145
0.843	1.12631103591591	0.686	1.81802699675633	0.95	0.631	Choroid plexus epithelial cells	MSTRG.4964
0.84	1.28676514097213	0.68	3.40243109346733	0.75	0.09	Choroid plexus epithelial cells	MSTRG.6149
0.84	3.6835808480051	0.68	5.77439342918687	0.725	0.082	Choroid plexus epithelial cells	MSTRG.4799
0.838	0.820727387447909	0.676	1.21685417229346	1	0.795	Choroid plexus epithelial cells	MSTRG.9500
0.837	0.892246084296306	0.674	1.41021757228636	0.975	0.682	Choroid plexus epithelial cells	MSTRG.21301
0.836	1.12812141300312	0.672	2.44771469855125	0.8	0.19	Choroid plexus epithelial cells	MSTRG.20283
0.835	1.52199283668318	0.67	6.87744651977264	0.675	0.01	Choroid plexus epithelial cells	MSTRG.5228
0.828	1.06793594906463	0.656	1.99429284170785	0.825	0.256	Choroid plexus epithelial cells	MSTRG.14688
0.828	0.741697884000125	0.656	1.40245116730026	0.8	0.144	Choroid plexus epithelial cells	MSTRG.14312
0.824	1.32502784040711	0.648	2.73521860569624	0.8	0.201	Choroid plexus epithelial cells	MSTRG.8824
0.823	0.910591898828705	0.646	1.6438365290248	0.9	0.283	Choroid plexus epithelial cells	MSTRG.7954
0.82	1.35660886386323	0.64	4.0720288868007	0.675	0.039	Choroid plexus epithelial cells	MSTRG.922
0.817	0.79981109119122	0.634	1.35505835210541	0.95	0.578	Choroid plexus epithelial cells	MSTRG.12050
0.816	1.25687429645069	0.632	3.37805491386492	0.7	0.077	Choroid plexus epithelial cells	MSTRG.9432
0.813	2.30191045862424	0.626	5.11520798357289	0.65	0.035	Choroid plexus epithelial cells	MSTRG.7843
0.813	1.64874964681715	0.626	4.57082813374774	0.65	0.029	Choroid plexus epithelial cells	MSTRG.830
0.812	0.998293431986231	0.624	2.29396777326855	0.75	0.156	Choroid plexus epithelial cells	MSTRG.11087
0.811	1.59521832015786	0.622	3.04901437614709	0.7	0.097	Choroid plexus epithelial cells	MSTRG.5947
0.807	1.02106490378471	0.614	2.04948526629212	0.8	0.265	Choroid plexus epithelial cells	MSTRG.17596
0.807	0.787894014310814	0.614	1.17597269377783	0.975	0.87	Choroid plexus epithelial cells	MSTRG.14496
0.807	0.534521969851498	0.614	0.872235685796687	1	0.688	Choroid plexus epithelial cells	MSTRG.13790
0.806	0.673527561638865	0.612	1.07747937861456	0.975	0.666	Choroid plexus epithelial cells	MSTRG.5506
0.804	1.33177156827255	0.608	3.22136875140439	0.675	0.071	Choroid plexus epithelial cells	MSTRG.13635
0.803	0.67784700876054	0.606	1.071705308678	0.975	0.702	Choroid plexus epithelial cells	MSTRG.2426
0.803	1.07030009834484	0.606	3.40165432369156	0.65	0.053	Choroid plexus epithelial cells	MSTRG.78
0.802	0.695535593953978	0.604	1.26198543192271	0.925	0.425	Choroid plexus epithelial cells	MSTRG.3481
0.8	0.606901507272358	0.6	0.941793071253325	0.975	0.77	Choroid plexus epithelial cells	MSTRG.6210
0.798	0.737224000448518	0.596	1.23982345894427	0.95	0.574	Choroid plexus epithelial cells	MSTRG.18799
0.797	0.967257723713194	0.594	2.0573153181179	0.775	0.253	Choroid plexus epithelial cells	MSTRG.20183
0.797	0.558624434008684	0.594	0.861866209100905	0.975	0.801	Choroid plexus epithelial cells	MSTRG.2368
0.796	0.913726833273031	0.592	1.73519734631495	0.8	0.252	Choroid plexus epithelial cells	MSTRG.4105
0.796	1.13880601435505	0.592	3.44337158608248	0.65	0.067	Choroid plexus epithelial cells	MSTRG.164
0.793	0.584887553935109	0.586	0.851127078643388	1	0.9	Choroid plexus epithelial cells	MSTRG.11542
0.793	0.360537148421922	0.586	0.65631452506127	0.775	0.181	Choroid plexus epithelial cells	MSTRG.6504
0.793	0.561617855596747	0.586	0.869889460895523	1	0.826	Choroid plexus epithelial cells	MSTRG.3817
0.792	0.759778266427665	0.584	1.52144644012266	0.8	0.224	Choroid plexus epithelial cells	MSTRG.13747
0.792	0.687392455875376	0.584	1.30545458135598	0.875	0.407	Choroid plexus epithelial cells	MSTRG.12301
0.791	1.66777641752202	0.582	2.99233821808682	0.75	0.316	Choroid plexus epithelial cells	MSTRG.16802
0.79	1.29935786372696	0.58	3.74229580526913	0.625	0.061	Choroid plexus epithelial cells	MSTRG.9880
0.789	1.08126175654024	0.578	3.51706408684897	0.625	0.054	Choroid plexus epithelial cells	MSTRG.1895
0.786	0.618826783605964	0.572	0.979986102015182	0.975	0.548	Choroid plexus epithelial cells	MSTRG.5693
0.785	0.496904822462394	0.57	0.739872386472356	1	0.922	Choroid plexus epithelial cells	MSTRG.17758
0.784	0.978852821354416	0.568	2.13373674511535	0.725	0.192	Choroid plexus epithelial cells	MSTRG.306
0.781	1.251590825165	0.562	2.33219614197984	0.75	0.281	Choroid plexus epithelial cells	MSTRG.1794
0.78	0.853535765180935	0.56	1.66153684385219	0.8	0.312	Choroid plexus epithelial cells	MSTRG.9178
0.78	0.959926768059599	0.56	4.96907591752549	0.575	0.016	Choroid plexus epithelial cells	MSTRG.7940
0.78	0.786854170575695	0.56	2.14430379947133	0.675	0.119	Choroid plexus epithelial cells	MSTRG.99
0.778	0.488690035540019	0.556	0.725002232209547	1	0.921	Choroid plexus epithelial cells	MSTRG.24178
0.776	0.462247901967403	0.552	0.692913100245432	1	0.896	Choroid plexus epithelial cells	MSTRG.8465
0.776	1.08369337229452	0.552	1.57782770344615	0.975	0.853	Choroid plexus epithelial cells	MSTRG.2909
0.776	0.594152319188658	0.552	1.11574956246244	0.875	0.45	Choroid plexus epithelial cells	MSTRG.2581
0.775	0.784948775006135	0.55	1.32884525828813	0.85	0.446	Choroid plexus epithelial cells	MSTRG.3807
0.774	1.13996089032489	0.548	2.38491327972591	0.7	0.186	Choroid plexus epithelial cells	MSTRG.6524
